it-codigo;it-codigo-desc;cod-un;cod-refer;qt-pedida;qt-atendida;dt-entorig;nome-abrev;nr-sequencia;nr-pedcli;vl-tot-it;user-impl;cod-sit-item-desc;Data_emissao;n_pedido;data_entrega;situacao
0.61.006;DISTRIBUIDOR DE CALCARIO/ADUBO/FERTILIZ. DF 2500 (11L15);PC;CIN-004;1;0;2023-07-31;LUCHINI TRAT;10;49338;33813.0;andre;Aberto;2023-07-20;49338;2023-07-31;Aberto
0.85.181;GNFA84ATA 84D X 22 X 4,50MM ESP. 195MM RODADO 11L15;PC;CIN-004;1;0;2023-08-10;AGR PARANAVA;10;49339;92700.0;andre;Aberto;2023-07-20;49339;2023-08-10;Aberto
5.29.094;TANQUE DE FUNGICIDA COMPLETO;PC;;1;0;2023-07-24;GUARANI OLIM;10;4701980105;4027.15;caio;Aberto;2023-07-19;49330;2023-07-24;Aberto
5.14.091;ENGRENAGEM DA ESTEIRA C/ BUCHA DE BRONZE;PC;;4;0;2023-08-25;MONTE ALEGRE;10;144038;1533.0;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
7.22.253;MANCAL F207 C/ ROLAMENTO UC207;PC;;8;0;2023-08-25;MONTE ALEGRE;20;144038;2017.78;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
7.22.192;MOTOR HIDRAULICO OMS100 S/ SENSOR (100CC) EATON;PC;;1;0;2023-08-25;MONTE ALEGRE;30;144038;7631.32;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
7.12.260;CORRENTE ROLO P 60 - 121 ROLOS + EMENDA;PC;;4;0;2023-08-25;MONTE ALEGRE;40;144038;21727.01;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
7.14.028;EMENDA DA CORRENTE TRANSPORTADORA;PC;;4;0;2023-08-25;MONTE ALEGRE;50;144038;482.02;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
5.11.165;BORRACHA DA BICA INFERIOR;PC;;4;0;2023-08-25;MONTE ALEGRE;60;144038;2289.55;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
5.12.270;CHAPA DE DESVIO - CONJUNTO;PC;;15;0;2023-08-25;MONTE ALEGRE;70;144038;1743.74;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
5.14.045;ENGRENAGEM Z 9D - P60 - FURO 50MM;PC;;4;0;2023-08-25;MONTE ALEGRE;80;144038;937.01;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
5.27.040;ROLO INFERIOR DO ELEVADOR;PC;;2;0;2023-08-25;MONTE ALEGRE;90;144038;2971.93;caio;Aberto;2023-07-19;49331;2023-08-25;Aberto
